idstate,year,txrate,name,aland,ycoord,xcoord,land,state,price,pop,pop16,cpi,ndi,sales,pimin,comp,ppp,spp,mppp,ipc,ncom,lnprice,lnsales,lncomp,lnndi,lntxrate,lnland,lnpop,lnpop16,lncpi,lnminp,lnsales_lag,lnprice_lag,lnndi_lag,lncomp_lag,lntxrate_lag,lnland_lag,lnpop_lag,lnpop16_lag,lncpi_lag
AL,91,.16500001,Alabama,131200000000,32.739632,-86.84346,50645.352,1,144.39999,4178.2998,3185.1001,136.2,13360,107.9,137.39999,45284,1.0602061,141.5461,1.008811,98.091042,332.48169,.058462799,4.9526262,5.8065848,4.585896,-1.80181,10.8326,8.3376598,8.0662394,4.914124,.0087719001,4.958797,.062288601,4.584764,5.7993708,-1.80181,10.8326,8.325839,8.0547132,4.8729048
AL,92,.16500001,Alabama,131200000000,32.739632,-86.84346,50645.352,1,172.2,4226.2998,3226.7,140.3,14533,109.1,159.5,48478,1.22737,142.8981,1.13685,103.5852,345.53101,.20487361,4.962132,5.8450818,4.6403942,-1.80181,10.8326,8.349082,8.079215,4.9437828,.128261,4.9526262,.058462799,4.585896,5.8065848,-1.80181,10.8326,8.3376598,8.0662394,4.914124
AZ,63,.02,Arizona,294200000000,34.203922,-111.60641,113594.42,3,23.9,1517,982.40002,30.6,1944.7451,125,24.9,2407,.78104568,193.0222,.81372547,63.553761,78.660133,-.2471216,5.262805,4.3651371,4.151886,-3.9120231,11.64039,7.3244901,6.889998,3.421,-.2061322,,,,,,,,,
AZ,64,.02,Arizona,294200000000,34.203922,-111.60641,113594.42,3,24,1549,1005.6,31,2063.5161,121,25.5,2586,.77419353,186.3853,.82258058,66.565033,83.419357,-.2559334,5.2278161,4.4238811,4.1981788,-3.9120231,11.64039,7.345365,6.9133401,3.4339869,-.1953088,5.262805,-.2471216,4.151886,4.3651371,-3.9120231,11.64039,7.3244901,6.889998,3.421
AZ,65,.02,Arizona,294200000000,34.203922,-111.60641,113594.42,3,24.200001,1575,1024.9,31.5,2162.6638,123.2,25.299999,2732,.76825398,189.32581,.80317461,68.655991,86.730164,-.26363489,5.2434692,4.462801,4.2291079,-3.9120231,11.64039,7.36201,6.9323502,3.4499879,-.21918321,5.2278161,-.2559334,4.1981788,4.4238811,-3.9120231,11.64039,7.345365,6.9133401,3.4339869
AZ,66,.064999998,Arizona,294200000000,34.203922,-111.60641,113594.42,3,29.6,1609,1051.9,32.400002,2318.6152,113.9,25.5,3067,.91358018,174.2229,.78703701,71.562187,94.660492,-.090384103,5.160336,4.5502968,4.2705669,-2.7333679,11.64039,7.383368,6.958354,3.478158,-.23948,5.2434692,-.26363489,4.2291079,4.462801,-3.9120231,11.64039,7.36201,6.9323502,3.4499879
AZ,67,.064999998,Arizona,294200000000,34.203922,-111.60641,113594.42,3,29.200001,1637,1078.9,33.400002,2446.6814,117.1,26,3278,.87425148,177.67419,.7784431,73.253929,98.143707,-.1343872,5.1799521,4.5864329,4.293932,-2.7333679,11.64039,7.40062,6.9836969,3.5085559,-.2504594,5.160336,-.090384103,4.2705669,4.5502968,-2.7333679,11.64039,7.383368,6.958354,3.478158
AZ,68,.1,Arizona,294200000000,34.203922,-111.60641,113594.42,3,31.299999,1667,1106,34.799999,2720.3708,115.6,32.299999,3708,.89942533,174.23621,.92816091,78.171577,106.5517,-.1059993,5.1604118,4.6686311,4.3589058,-2.3025849,11.64039,7.4187808,7.0085049,3.5496171,-.074550197,5.1799521,-.1343872,4.293932,4.5864329,-2.7333679,11.64039,7.40062,6.9836969,3.5085559
AZ,69,.1,Arizona,294200000000,34.203922,-111.60641,113594.42,3,36.099998,1693,1117.5,36.700001,2979.6013,113.8,33.299999,4249,.98365122,172.4057,.90735692,81.188042,115.7766,-.016484,5.1498499,4.7516618,4.3967681,-2.3025849,11.64039,7.434258,7.0188489,3.602777,-.0972194,5.1604118,-.1059993,4.3589058,4.6686311,-2.3025849,11.64039,7.4187808,7.0085049,3.5496171
AZ,70,.1,Arizona,294200000000,34.203922,-111.60641,113594.42,3,37.099998,1772,1226.6,38.799999,3269.8157,115.2,34.599998,4811,.95618552,166.423,.89175248,84.273598,123.9949,-.044803299,5.114532,4.82024,4.4340692,-2.3025849,11.64039,7.4798641,7.1120009,3.6584201,-.1145666,5.1498499,-.016484,4.3967681,4.7516618,-2.3025849,11.64039,7.434258,7.0188489,3.602777
AZ,71,.1,Arizona,294200000000,34.203922,-111.60641,113594.42,3,38.5,1878,1313.5,40.5,3549.7019,109.6,36.599998,5503,.95061731,156.7025,.90370369,87.646957,135.8765,-.050643701,5.0543489,4.911747,4.4733171,-2.3025849,11.64039,7.537962,7.18045,3.7013021,-.1012537,5.114532,-.044803299,4.4340692,4.82024,-2.3025849,11.64039,7.4798641,7.1120009,3.6584201
AZ,72,.1,Arizona,294200000000,34.203922,-111.60641,113594.42,3,38,1975,1393.6,41.799999,3800.6702,125,37.200001,6401,.90909088,177.14909,.88995218,90.925133,153.134,-.095310196,5.1769919,5.0313129,4.510036,-2.3025849,11.64039,7.5883241,7.239645,3.7328961,-.1165875,5.0543489,-.050643701,4.4733171,4.911747,-2.3025849,11.64039,7.537962,7.18045,3.7013021
AZ,73,.1,Arizona,294200000000,34.203922,-111.60641,113594.42,3,38.700001,2075,1476.5,44.400002,4219.9834,128.3,36.5,7502,.87162161,180.3065,.82207203,95.04467,168.964,-.1373999,5.1946578,5.1296849,4.554347,-2.3025849,11.64039,7.6377158,7.29743,3.7932401,-.19592731,5.1769919,-.095310196,4.510036,5.0313129,-2.3025849,11.64039,7.5883241,7.239645,3.7328961
AZ,74,.1,Arizona,294200000000,34.203922,-111.60641,113594.42,3,39.200001,2156,1547,49.299999,4508.1318,133.10001,37.799999,8299,.79513192,185.4968,.7667343,91.442841,168.3367,-.2292473,5.2230382,5.1259661,4.5157142,-2.3025849,11.64039,7.6760101,7.3440728,3.8979239,-.26561499,5.1946578,-.1373999,4.554347,5.1296849,-2.3025849,11.64039,7.6377158,7.29743,3.7932401
AZ,75,.13,Arizona,294200000000,34.203922,-111.60641,113594.42,3,47.700001,2200,1591.4,53.799999,4742.5752,121.8,40.5,8689,.88661712,168.3801,.75278813,88.151947,161.5056,-.120342,5.126224,5.0845399,4.4790621,-2.040221,11.64039,7.6962128,7.3723688,3.9852729,-.28397149,5.2230382,-.2292473,4.5157142,5.1259661,-2.3025849,11.64039,7.6760101,7.3440728,3.8979239
AZ,76,.13,Arizona,294200000000,34.203922,-111.60641,113594.42,3,49.099998,2244,1635.8,56.900002,5158.79,122.3,43.400002,9696,.86291742,167.7719,.76274168,90.664146,170.40421,-.1474364,5.1226048,5.1381741,4.5071621,-2.040221,11.64039,7.7160149,7.3998871,4.041296,-.27083579,5.126224,-.120342,4.4790621,5.0845399,-2.040221,11.64039,7.6962128,7.3723688,3.9852729
AZ,77,.13,Arizona,294200000000,34.203922,-111.60641,113594.42,3,48.700001,2304,1690.8,60.599998,5567.7754,121.7,44.700001,11139,.80363041,165.83681,.73762381,91.877487,183.8119,-.2186158,5.1110039,5.213913,4.5204558,-2.040221,11.64039,7.7424021,7.4329572,4.1042948,-.30432129,5.1226048,-.1474364,4.5071621,5.1381741,-2.040221,11.64039,7.7160149,7.3998871,4.041296
AZ,78,.13,Arizona,294200000000,34.203922,-111.60641,113594.42,3,53.599998,2373,1750.6,65.199997,6283.499,124.7,49.5,13255,.82208592,169.0352,.75920248,96.372688,203.29761,-.19591039,5.1301069,5.314671,4.568223,-2.040221,11.64039,7.7719102,7.4677138,4.1774588,-.2754868,5.1110039,-.2186158,4.5204558,5.213913,-2.040221,11.64039,7.7424021,7.4329572,4.1042948
AZ,79,.13,Arizona,294200000000,34.203922,-111.60641,113594.42,3,58.599998,2450,1812.4,72.599998,7099.4038,124.6,53.700001,15851,.80716252,168.4341,.73966938,97.787933,218.3333,-.21423019,5.126544,5.386023,4.5828009,-2.040221,11.64039,7.803843,7.5024071,4.284965,-.30155191,5.1301069,-.19591039,4.568223,5.314671,-2.040221,11.64039,7.7719102,7.4677138,4.1774588
AZ,80,.13,Arizona,294200000000,34.203922,-111.60641,113594.42,3,60.799999,2718,2044,82.400002,7823.3901,126.8,57.200001,17934,.73786408,168.61169,.69417483,94.944054,217.6456,-.30399561,5.1275988,5.3828678,4.553288,-2.040221,11.64039,7.9076509,7.622664,4.4115849,-.36503151,5.126544,-.21423019,4.5828009,5.386023,-2.040221,11.64039,7.803843,7.5024071,4.284965
AZ,81,.13,Arizona,294200000000,34.203922,-111.60641,113594.42,3,63.299999,2794,2103.8,90.900002,8647.5576,113.8,62.700001,20193,.69636959,151.1347,.68976903,95.132637,222.1452,-.3618747,5.0181708,5.4033308,4.5552721,-2.040221,11.64039,7.9352288,7.6515012,4.5097599,-.3713986,5.1275988,-.30399561,4.553288,5.3828678,-2.040221,11.64039,7.9076509,7.622664,4.4115849
AZ,82,.13,Arizona,294200000000,34.203922,-111.60641,113594.42,3,73.300003,2860,2153.1001,96.5,8879.9355,113.5,68.099998,21014,.7595855,150.76401,.70569938,92.020058,217.7617,-.27498239,5.0157161,5.3834009,4.522007,-2.040221,11.64039,7.9585772,7.674664,4.5695429,-.34856579,5.0181708,-.3618747,4.5552721,5.4033308,-2.040221,11.64039,7.9352288,7.6515012,4.5097599
AZ,83,.13,Arizona,294200000000,34.203922,-111.60641,113594.42,3,80.5,2963,2231.2,99.599998,9579.1348,111.1,79.599998,22973,.80823302,147.53909,.79919678,96.176064,230.6526,-.2129049,4.9940929,5.4409132,4.5661802,-2.040221,11.64039,7.993958,7.7102952,4.601162,-.22414809,5.0157161,-.27498239,4.522007,5.3834009,-2.040221,11.64039,7.9585772,7.674664,4.5695429
AZ,84,.13,Arizona,294200000000,34.203922,-111.60641,113594.42,3,92.800003,3053,2300.7,103.9,10549.958,107.1,90.199997,26126,.89316648,142.12041,.86814243,101.5395,251.45329,-.1129822,4.9566741,5.527257,4.6204481,-2.040221,11.64039,8.02388,7.7409692,4.6434288,-.1413995,4.9940929,-.2129049,4.5661802,5.4409132,-2.040221,11.64039,7.993958,7.7102952,4.601162
AZ,85,.15000001,Arizona,294200000000,34.203922,-111.60641,113594.42,3,98.800003,3161,2384.7,107.6,11256.387,107.1,97.5,29160,.91821557,141.9646,.90613377,104.6133,271.00369,-.085322998,4.9555779,5.6021328,4.65027,-1.89712,11.64039,8.0586433,7.7768288,4.678421,-.098568298,4.9566741,-.1129822,4.6204481,5.527257,-2.040221,11.64039,8.02388,7.7409692,4.6434288
AZ,86,.15000001,Arizona,294200000000,34.203922,-111.60641,113594.42,3,106.7,3279,2483.1001,109.6,11796.536,107.9,101.2,31980,.97354013,142.4848,.92335773,107.6326,291.7883,-.0268162,4.9592361,5.6760292,4.6787238,-1.89712,11.64039,8.095294,7.8172631,4.6968369,-.079738602,4.9555779,-.085322998,4.65027,5.6021328,-1.89712,11.64039,8.0586433,7.7768288,4.678421
AZ,87,.15000001,Arizona,294200000000,34.203922,-111.60641,113594.42,3,113.5,3386,2569,113.6,12367.67,106.1,103.9,34404,.99911982,139.84219,.91461271,108.8703,302.85211,-.00088060001,4.940515,5.713244,4.6901569,-1.89712,11.64039,8.1274042,7.8512721,4.7326841,-.089254603,4.9592361,-.0268162,4.6787238,5.6760292,-1.89712,11.64039,8.095294,7.8172631,4.6968369
AZ,88,.15000001,Arizona,294200000000,34.203922,-111.60641,113594.42,3,113.5,3489,2638,118.3,13008,102.2,113.7,36944,.95942521,135.16901,.96111578,109.9577,312.2908,-.041421,4.9065261,5.7439351,4.7000961,-1.89712,11.64039,8.1573706,7.8777761,4.7732239,-.039660402,4.940515,-.00088060001,4.6901569,5.713244,-1.89712,11.64039,8.1274042,7.8512721,4.7326841
AZ,89,.15000001,Arizona,294200000000,34.203922,-111.60641,113594.42,3,125.6,3556,2672,124,13625,96.800003,126.4,38787,1.012903,128.8251,1.0193551,109.879,312.7984,.0128207,4.8584561,5.7455592,4.6993799,-1.89712,11.64039,8.1763916,7.890583,4.820282,.019169901,4.9065261,-.041421,4.7000961,5.7439351,-1.89712,11.64039,8.1573706,7.8777761,4.7732239
AZ,90,.15000001,Arizona,294200000000,34.203922,-111.60641,113594.42,3,130.2,3598.2,2703.7,130.7,13826,88.900002,133.60001,40942,.99617451,118.3119,1.0221879,105.7842,313.25171,-.0038329,4.773324,5.7470069,4.6614022,-1.89712,11.64039,8.1881886,7.9023771,4.8729048,.0219457,4.8584561,.0128207,4.6993799,5.7455592,-1.89712,11.64039,8.1763916,7.890583,4.820282
AZ,91,.15000001,Arizona,294200000000,34.203922,-111.60641,113594.42,3,151.39999,3681.7,2759.1001,136.2,14232,81.199997,146.89999,42761,1.111601,108.352,1.0785609,104.4934,313.9574,.1058009,4.6853852,5.749258,4.6491241,-1.89712,11.64039,8.2111301,7.9226599,4.914124,.075627699,4.773324,-.0038329,4.6614022,5.7470069,-1.89712,11.64039,8.1881886,7.9023771,4.8729048
AZ,92,.18000001,Arizona,294200000000,34.203922,-111.60641,113594.42,3,165.7,3762.2,2804.8,140.3,15179,79,165.39999,45577,1.181041,105.9661,1.178902,108.1896,324.85391,.1663959,4.6631188,5.7833748,4.6838851,-1.714798,11.64039,8.2327595,7.9390869,4.9437828,.1645837,4.6853852,.1058009,4.6491241,5.749258,-1.89712,11.64039,8.2111301,7.9226599,4.914124
AR,63,.059999999,Arkansas,134800000000,34.895527,-92.444626,52035.48,4,27,1907,1296.7,30.6,1480.3335,103.4,25.799999,1951,.88235289,152.0659,.8431372,48.376911,63.758171,-.12516309,5.0243139,4.155097,3.8790231,-2.813411,10.85968,7.553287,7.1675782,3.421,-.1706256,,,,,,,,,
AR,64,.059999999,Arkansas,134800000000,34.895527,-92.444626,52035.48,4,27.299999,1939,1320.7,31,1610.0797,102.6,25.700001,2104,.88064522,150.6333,.8290323,51.938061,67.870956,-.1271005,5.0148482,4.217608,3.950052,-2.813411,10.85968,7.5699282,7.1859169,3.4339869,-.1874962,5.0243139,-.12516309,3.8790231,4.155097,-2.813411,10.85968,7.553287,7.1675782,3.421
AR,65,.079999998,Arkansas,134800000000,34.895527,-92.444626,52035.48,4,27.200001,1941,1323.6,31.5,1710.199,100.3,26.1,2281,.86349207,147.0854,.82857138,54.29203,72.412697,-.1467706,4.991014,4.282382,3.9943769,-2.5257289,10.85968,7.5709591,7.1881099,3.4499879,-.18805221,5.0148482,-.1271005,3.950052,4.217608,-2.813411,10.85968,7.5699282,7.1859169,3.4339869
AR,66,.079999998,Arkansas,134800000000,34.895527,-92.444626,52035.48,4,30.299999,1963,1344.8,32.400002,1883.875,98.900002,26.200001,2501,.93518507,144.364,.80864203,58.144291,77.191353,-.067010798,4.9723382,4.3462868,4.0629282,-2.5257289,10.85968,7.5822291,7.204,3.478158,-.21239901,4.991014,-.1467706,3.9943769,4.282382,-2.5257289,10.85968,7.5709591,7.1881099,3.4499879
AR,67,.079999998,Arkansas,134800000000,34.895527,-92.444626,52035.48,4,30.4,1972,1357.3,33.400002,2004.4268,102.9,27.5,2719,.91017962,149.5018,.82335317,60.012779,81.407181,-.094113298,5.007308,4.3994641,4.0945568,-2.5257289,10.85968,7.586803,7.213253,3.5085559,-.19437,4.9723382,-.067010798,4.0629282,4.3462868,-2.5257289,10.85968,7.5822291,7.204,3.478158
AR,68,.079999998,Arkansas,134800000000,34.895527,-92.444626,52035.48,4,30.9,1983,1374.6,34.799999,2143.3677,104,29.200001,3004,.88793099,150.03059,.83908051,61.59103,86.321838,-.1188612,5.010839,4.4580832,4.1205158,-2.5257289,10.85968,7.5923662,7.2259178,3.5496171,-.1754486,5.007308,-.094113298,4.0945568,4.3994641,-2.5257289,10.85968,7.586803,7.213253,3.5085559
